period_ordered,book_id,nikh_period,level,sentence
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"백제의 음악은 고구려와 비슷하였으며, 일본에 흘러들어가서 일본 음악에 많은 영향을 주었다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"긴 강물은 만 리 길을 도도하게 흘러가고, 강물은 마르지 않고 장사들의 넋도 죽지 않는구나.’라고 하고 강으로 달려가 함께
죽었다."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"〈알아두기〉

징기스캉, 강화 천도."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"김기덕이 죽었을 때 그의 아내는 나이가 80이 가까웠는데, 남편을 따라 죽었다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"그 밖에, 전곡을 출납하는 일을 맡은 3사와 감찰관인 어사대도 중요한 기구의 하나였다."
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"화랑들은 도의로써 서로 가다듬고 가악으로써 서로 즐기며 명산대천을 찾아다니면서 기도도 하고 정성도 드려
정신을 수양하여 나랏일을 맡아볼 인재를 기르는 것으로서 종교적 수양단과 같은 것이다."
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,"이 대회에서, 외국에 의존하는 정치를 비판하고, 자주적 입장에서 근대적 정치를 펼 것을 정부에 요구하여 국왕의 승인까지 받았다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"시호를 충렬(忠烈)이라 하고 경릉(慶陵)에 장사
지냈다."
6. Chun / Roh Transitional,ta_e41,4th National Curriculum (1981–1987),Elementary,3\.
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,"국민들은 신분의 귀천이나 남녀 노소를 막론하고 한결같이
문화적인 우월감에 가득 차 있어서, 자발적인 전투 의식을 가지고 있었다."
1. Late Chosŏn / Korean Empire,ta_p81r,Enlightenment & Daehan Empire (1895–1910),,부인은 치마저고리에 초록빛을 더하였다.
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,"얼마 지나지 않아 부여 왕이 세상을 떠나자 주몽이 왕위를 계승하여, 두
아들을 낳았다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"한편, 새로 창설된 국군 내부에도 공산주의자들이 침투하여 사회 혼란을 유발하였다."
1. Late Chosŏn / Korean Empire,ta_p22r,Enlightenment & Daehan Empire (1895–1910),Public schools,"김돈중의 아버지 김부식이 주청하여 정중부를 고문하여 다스려줄 것을 청하였으나, 왕이 정중부의 사람됨을 비상히 여겨서
몰래 도피시켜 모면하게 하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,문종 원년.
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,그러다가 명종(明宗)이 왕위에 오르면서는 모후와 외척의 권력이 강해졌다.
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,"【이어 소굴을 불태워 버렸다.】

 기원후 193년 갑신 [선조 17년]

전 찬성(贊成) 이이(李珥)가 졸하였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"금동 관음보살 입상 | 충남 부여 출토

서산 마애 삼존불상 | 충남 서산

 중흥을 위한 성왕의 노력

백제가 본격적인 중흥의 기반을 마련한 것은 6세기 중반 성왕 때였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"한편, 부여와 초기 고구려에는 가, 대가로 불린 권력자들이 있었다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"1932년의 제네바 회의는 국제 연맹이 주관한 세계적인 규모의 회의였으나, 아무런 결정도 짓지 못한 가운데 독일에서는
재무장을 주장하는 나찌 당이 정권을 장악하게 되어, 군비 축소 문제는 실패로 돌아가게 되었다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"이 무렵에, 러시아의 침략 위협에 따른 조선의 당면 외교 정책으로서의 연미론(聯美論) 등을 논술한 황쭌셴의 조선 책략(朝鮮策略)이 국내에
들어와 일부 지식층 사이에 읽혀졌고, 유교적인 이적관(夷狄觀)에서 벗어나 새로이 미국과 외교 교섭을 해야 한다는 주장이 일어났다."
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,"천거를 받아
관직에 나아갔다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,조정에서 병사를 보내 토벌하니 서북 사람들이 김단의 목을 베어 보냈다.
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,"잔인 무도한 힘이
커지면 커질수록 우리 나라는 불리해."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"이상설, 안병찬, 조병세, 민영환, 최익현, 이근명 등의 조야 인사들은 연이어 상소를 올려,
조약의 파기와 5적의 처단을 주장하였다."
1. Late Chosŏn / Korean Empire,ta_p13r,Enlightenment & Daehan Empire (1895–1910),Public schools,"기원후 353년

갑자(甲子) 20년이다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"이리하여 본국에서 정한론(征韓論)이
들끓었다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"그러나, 후에 이 제도에도 여러 가지 어려움이 생기게 되자, 마침내 국가가 직접 토지를 관리하여 농민에게서 거둔 조를 관료에게 지급하는 관수
관급제를 실시하게 되었다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"1820년을 전후하여
사회가 안정됨에 따라서 프랑스는 영국으로부터 여러 가지 기계를 수입하여 견직물 공업을 발전시켰다."
6. Chun / Roh Transitional,ta_e41,4th National Curriculum (1981–1987),Elementary,4\.
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"정치에 뜻을 잃은 의종은
놀이와 연회를 위해 별궁과 정자를 지었고, 백성들은 이를 위한 공사에 동원되어 노역에 시달렸다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"○ 6월에 서연(書筵)을 열고 채하중(蔡河中)과 한종유(韓宗愈), 이제현, 박충좌(朴忠佐), 김윤(金倫), 배전(裴佺), 노영서(盧永瑞),
이천(李蒨), 신예(辛裔), 이인복(李仁復) 등 48명을 4번(番)으로 나누어서 하루씩 번갈아 가며 시독[侍讀]1)하도록 하였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,[1] 고구려는 어떻게 나라의 기틀을 마련하였나?
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"농업 기술이 발달하여 조, 보리, 콩의 2년 3작이 널리 행해졌는데, 남부 일부 지역에서는 모내기가 실시되기도 하였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"그런데 15세기 말부터
사림이 중앙의 정치 무대에 등장하면서 기존의 훈구 세력과 대립하기 시작하였다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,4\.
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"그들은 성리학에
의거하여 왕도 정치를 추구하고, 서원, 향약의 보급을 통해 향촌 사회에서 세력 기반을 구축하여 붕당 정치의 토대를 굳히고자 하였다."
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,국제 연합의 큰 목적은 무엇인가?
6. Chun / Roh Transitional,ta_e52,5th National Curriculum (1987–1992),Elementary,"나라의 문호가 열리고 개화의 움직임이 진행되면서, 서양 문물이 우리 땅에 들어오기 시작했다."
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"그밖에 고려시대를 중심으로
의서(신집어의촬요방), 사적(십이국사), 문집(동파문집) 등의 조판이 각지에서 자못 성행하였다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"이제 우리는, 이 정신적 기반
위에서 전통 문화의 올바른 계승을 도모하고 민족 역량의 근대적 발전을 계속 추구한다면, 우리의 역사적 과제인 민족 중흥의 터전은 기필코
다져질 것이다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그 섬의
사람들은 예로부터 조선에 왕래하면서 교역을 하여 생계를 꾸렸는데 분로쿠(文祿) 전쟁과 게이죠(慶長) 전쟁 이후 교역이 갑자기 중단되었으며 이
때문에 무역의 이익을 잃어 상하 모두 극도로 피폐해졌다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"또, 균역법(均役法)을 실시하여 군역 제도를
시정하고, 민의의 상달을 위한 신문고 제도를 부활시켰다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,여름 4월에 왕이 돌아가시고 태자 해(楷)가 즉위하여 시호를 문효(文孝)라고 하였다.
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"중인은 관청에서 행정의 실무를 담당하거나, 역관, 의관 등과 같이 기술 관직에 종사하였다."
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,"당쟁에 내몰린 학자들은, 역사, 지리를 비롯하여, 발달된 서양의 학술을 연구하게 되었고, 정약용 같은 학자들은, 천주교를 넓히는 운동을
일으켰다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"그 뒤, 유수가 왕망의 신을 넘어뜨리고 뤄양을 도읍으로 나라를 세우니, 이가 곧 후한(25~220)의 광무제이다."
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"민족 문화 수호 운동

학습 개요

1930년대 후반 이후 일제의 침략 전쟁은 중⋅일 전쟁에 이어 태평양 전쟁으로 확대되었다."
1. Late Chosŏn / Korean Empire,ta_p13r,Enlightenment & Daehan Empire (1895–1910),Public schools,○ 영국인 할리팩스(奚來白士)에게 통정(通政)의 품계를 특별히 제수하였다.
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,3\.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"고구려가 망하기 전에 그 총 홋수는 69만 7천이고, 성곽은 176개에 달하였다."
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,【대왕의 성품과 행실】 천성이 어질고 부지런하고 학문을 좋아하고 취미와 재예가 다방면에 걸쳐 뛰어났다.
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"5세기 이후, 삼국 간의 항쟁은 대략
세 시기로 구분하여 이해할 수 있다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그러므로 쓰시마 섬을 공격하여 해구의 근거지를 파괴하려고 태조 5년과 세종 원년의 두 차례에 군대를 보냈지만
효과를 거두지 못하였다."
5. Yushin,ta_e32,3rd National Curriculum (1973–1981),Elementary,"이 무렵 고려에는 송나라 상인은 물론 멀리 아라비아 상인들도 드나들었으며, 무역 활동이 활발하였다."
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,"그 뒤, 진평왕 때의 원광은 불교를 선교했을 뿐만 아니라, 세속 5계를 정하여
가르치는 등 새로운 사회 윤리와 국가 정신을 확립하기에 힘썼다."
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,"또한 신라의 왕족인 궁예(弓裔)도 스스로 일어나 왕으로 칭했으며 철원(鐵圓) 【지금의 강원도 철원(鐵原)】 에 도읍을 정하고 나라를
태봉(泰封)이라고 했다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,위 증거로서 아래 사람들은 각자 본국 정부로부터 합당한 위임을 받고 본 협약에 기명(記名) 조인(調印)하기로 한다.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"또, 고구려⋅백제 문화의 전통을 수용하고 경제력을 확충함으로써 민족 문화
발전의 토대를 마련하였다."
5. Yushin,ta_e32,3rd National Curriculum (1973–1981),Elementary,양반 아래에는 주로 기술직이나 행정의 실무를 맡아 보는 관리로서 일하는 중인층이 있다.
2. Colonial,ta_p32r,Japanese Colonial (1910–1945),,"| 1393  
2054 | 고코마쓰 천황 | 오에이(應永) 원년 | 태조 | 3년 | 도읍을 한성으로 옮겼다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그런데 천주교에 대한 정부의 박해는 이 태왕 10년 【메이지
6년, 서기 1873년】 에 대원군이 정권을 잃으면서부터 비로소 그 자취를 감추고, 천주교는 포교의 자유를 얻기에 이르렀다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"○ 고구려가 한(漢)나라의 북평(北平), 어양(漁陽), 상곡(上谷), 태원(太原) 등지를 공격하여 취하였다가 얼마 후에 한나라와 함께
화친하였다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"헌강왕(憲康王)

   을사(乙巳) [헌강왕 10년]
   병오(丙午) [헌강왕 11년]

헌강왕의 휘(諱)는 정(晸)이고, 재위 기간은 11년이었다."
1. Late Chosŏn / Korean Empire,ta_p22r,Enlightenment & Daehan Empire (1895–1910),Public schools,○ 사신을 금나라에 파견하여 갔다.
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"---  
2\."
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,"일본 공사관을 습격하다

난병(亂兵)이 다시 일본(日本) 공사관을 습격하자 공사(公使) 하나부사 요시모토[花房義質]가 인천(仁川)으로 도망하다가 다시 난병의 습격을
만났다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"그리고 신극 운동도 일어나, 우리 나라 최초의 서양식
극장인 원각사가 세워졌고, 은세계, 치악산 등의 작품을 공연하였다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,이에 20세기 초에는 라이베리아와 에티오피아를 제외한 모든 아프리카 지역이 유럽 열강에 점령되고 말았다.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"이에 구석기 시대가 지나고,
과도기인 중석기 시대를 거쳐 신석기 시대가 전개되었다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"볼로냐의 학생들은 그 곳
주민에 대하여 자기네의 권익을 옹호하려고 조합을 만들었으며, 나중에는 교수들도 그 감독을 받게 되었다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"그 뒤 이 사건의 진상이 밝혀지게 되자, 국민의 분노는 더욱 고조되었다."
1. Late Chosŏn / Korean Empire,ta_p101r,Enlightenment & Daehan Empire (1895–1910),,"단기 3351년(1018)에 소손녕이 또다시 무장한 군사 10만 명을 거느리고 침공하여 오자 상원수(上元帥) 강감찬과 부원수(副元帥)
강민첨(姜民瞻)4)이 군사 20만 8천 명을 이끌고 방어하러 나갔다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,청 나라의 문화에 대해서 조사하여 보자.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"처음에는 전화가 궁중 안에만 가설되었는데, 서울-인천 간의 시외선도 가설되고, 뒤이어 서울
시내 일반에도 가설되었다."
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,② 불·미 양군과는 어째서 충돌하게 되었으며 그 뒤의 대외 정책은 어떠하였는가?
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,1958년에는 이집트와 시리아가 합병하여 아랍 공화국을 만들었다.
1. Late Chosŏn / Korean Empire,ta_p21r,Enlightenment & Daehan Empire (1895–1910),Public schools,숙부 의정(誼靖)이 즉위하였다.
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,교세가 자라난 동학은 교조 신원 운동을 전개하여 그 위세를 떨쳤다.
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,"특히, 김정호는 대동여지전도와 같은 훌륭한 지도를 만들어 내었다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,2\.
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"그 후 적의 해상활동 내지 보급을
곳곳에서 분쇄하여 맹위를 나타내는 동시에 항상 제해권을 잡았던 이는 전라 좌수사(본영은 여수) 이순신이었다."
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,"3⋅1 운동은 우리 겨레의 독립 역량을 과시하였을 뿐 아니라, 우리 겨레의 독립 운동의 기본 방향을 제시하였다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,대한 민국 수립 당시의 우리 경제는 매우 어려운 처지에 놓여 있었다.
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,왕이 태조와 지용수에게 명하여 가서 공격하라고 하였다.
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,5\.
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"게르만족은 유럽에 봉건 제도를 실시하여
토지를 중심으로 한 신분 계급을 마련하였다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,공주에는 옛날의 궁궐터로 짐작이 되는 공산성과 무령왕릉을 비롯한 여러 임금의 무덤이 있다.
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"대한 제국의 군인들  

의병 전쟁

일본의 침략에 무력으로 대항하는 의병 활동은 국권을 지키기 위한 구국 전쟁으로 전개되었다."
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,"조선어 학회에서는 우리 나라 최초의 우리말 사전인 조선말 큰사전을
펴내기도 하였다."
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,"이 때, 이순신은 철수하는 왜군을 노량에서 대파하고 순국하였다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"이러한 토대 위에서 각지에 여러 나라가
형성되어 성장하였다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"여기서 우리는, 우리 역사를 보는 눈을 보다 넓고 깊게 하며, 우리 역사의 특징을 살피고 그 참뜻을 알아야 하겠다."
1. Late Chosŏn / Korean Empire,ta_p81r,Enlightenment & Daehan Empire (1895–1910),,"이때에 반란이 다시 일어나니 상대등(上大等)【관등명】 김양상 등이 반란 무리를
토벌하고 다시 왕을 죽이고 스스로 즉위하니, 이 사람이 선덕왕(宣德王)이다."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"인조는 미처 강화도로
피난하지 못하고, 남한산성(南漢山城)에 들어가서 싸운 지 두 달 만에 아직도 국민들의 뼈에 사무치는, 수치스런 항복을 하게 된
병자호란(丙子胡亂)이라는 비참한 역사를 남겨 놓았다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,학파의 분화와 서원의 등장은 어떤 연관성이 있었는지 생각해 보자.
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"실정에 맞게 폐해를 고침(革弊時宜)

이리하여 우리나라[일본]는 청나라가 조선의 안녕과 질서를 원치 않고, 시폐(時弊)의 개혁에 성의가 없다는 것을 인정하고, 독자적 힘으로 이에
나서기로 결정하였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"농민들은 굶주린 끝에 고향을 버리고 떠돌거나 도적 떼에 들어가기도
하였다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,4.
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,"통신사 행렬도  

병자호란

왜란으로 명의 국세가 약해지자, 그 틈을 이용하여 만주 지방에 흩어져 살던 여진족은 명의 지배에서 벗어나 후금을 건국하였다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"이를 위해 나라에서는 백성들이 지켜야 하는 법을
기록한 책인 ‘경국대전’을 만들었다."
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,고려라는 이름은 이들에 의해 서양에 널리 알려지게 되었다.
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"그리하여 고구려 침략에 실패한 이후 재침의 기회를 엿보던 당과
손을 잡았다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"학습 정리

1\."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,농민이 모를 심고 있는 농촌의 풍경이다.
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"이외에도
공사(公私)의 외거 노비가 있었으니, 이들은 천민이었으나 독립된 생활을 하고 있어서 전호와 크게 다를 바가 없었다."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"일반 사람의 생활도 풍성하였으며, 불교가 왕성하매 시중이나 주변에 허다히 산재한 원근의 사찰(寺刹) 또한 당시 사람들의 정신 생활의
본거지였으며, 도시의 한 풍물이었으니, 저 유명한 봉덕사의 종이 새벽과 해 저물녘에 은은히 혼신(昏晨)을 고함이야말로, 신라 문화의 유구한
여운(餘韻)이었다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,양반 신분을 사들인 농민은 더 나아가 향촌 사회에서 자신들의 영향력을 키우고자 하였다.
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"그러므로, 나는 존재한다.’라는 명제로 유명한 데카르트의 합리주의
철학과 영국의 베이컨 및 로크의 경험주의 철학은 근대 철학의 2대 조류를 이루었다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"후금의 군대는 평안도 의주, 정주,
선천, 곽산 등지를 거쳐 황해도 황주에까지 이르렀다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,우리 현대사에서 중요한 사건은 우리 고장에 어떤 영향을 끼쳤을까?
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"고구려의 대외 관계

고구려는 우리 나라에 침입하려는 중국 세력을 저지하는 한반도의 울타리 구실을 하였으며, 때로는 적극적으로 중국 세력을 교묘히 이용하여 그들을
견제하기도 하였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"즉, 3성은 정당성을 중심으로 운영하였고, 정당성 아래에 6부를 두어 나라의 일을 나누어 처리하게 하였다."
1. Late Chosŏn / Korean Empire,ta_p101r,Enlightenment & Daehan Empire (1895–1910),,"부가 또
각각 주를 거느렸으니, 엄연한 하나의 대국(大國)을 이루어 지금의 만주 전역을 모두 차지하였다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"고려 시대의 생활

   1\."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그러나
왕비 민씨는 궁궐에 들어온 후 오래지 않아 대원군과 사이가 나빠졌는데, 민씨 일족인 민승호(閔升鎬) 【민치록의 양자】 와 민태호(閔台鎬)
등은 연달아 등용되어 중추적인 정무에 관여하였으며, 특히 대원군이 은퇴한 후에는 국정을 좌우하여, 대원군의 방침을 완전히 바꾸고 대원군과
같은 편이었던 사람들을 몰아냈다."
5. Yushin,ta_e31,3rd National Curriculum (1973–1981),Elementary,3\.
1. Late Chosŏn / Korean Empire,ta_p101r,Enlightenment & Daehan Empire (1895–1910),,"이에 신우를 강릉(江陵)으로 유배하고, 신창을 강화도로 내쫓았다가 다시 신우와 신창을 모두 죽이고, 신종(神宗)의 7세손인 왕요(王瑤)를
옹립하였으니, 그가 바로 공양왕(恭讓王)이다."
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,○ 왕이 『오경백편(五經百篇)』을 완성하였다.
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"그들의 공물은 대개 마필, 표피, 부금(麩金), 과선(戈船),
병기, 철갑, 궁시 등이며 고려 조정에서는 면서(綿絮), 경우(耕牛), 부정(釜鼎) 등 그들의 생활에 필요한 것을 상사품으로 주었다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"영⋅정조의 중흥 정치

17세기 후반부터 18세기 초까지인 현종, 경종 때에는 당파 싸움이 심하였으나, 그 뒤를 이은 영조와 정조의 76년 동안은 정치적으로 자리가
잡혔고 산업 활동이 성장하여, 문화가 크게 발전하였다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"족보는 한 성씨의 역사와 가계의 연속성을 나타내는 기록이므로, 이를 통해 자기 조상의 업적을 기리고, 동족 간의 협동과 상호 부조를 배우며,
나아가 후손들을 교화시키는 구실도 하였다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,○ 궁예가 왕건(王建)을 철원 태수(鐵圓太守)로 삼았다.
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"이에 따라 1920년대 중반에는 신경향파 문학이
대두하기도 하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,에도성에서 쇼군을 알현하였다.
4. Post-war Authoritarian,ta_e21,2nd National Curriculum (1963–1973),Elementary,"해방 후에도 북한에서는 소련의 앞장이인
공산당이 독재 정치를 하여 국민을 괴롭히고 있는 것이다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"이상설이 말한 바에 따르면, 그는 한국 황제를 알현하고, 친히 신임장(信任狀)을 받은 후, 4월
20일에 이준과 함께 경성을 출발하여, 육로로 블라디보스토크로 갔으며, 거기에서 다시 시베리아 철도를 타고 페테르부르크로 가서, 이위종과
회합하여, 함께 6월 25일에 헤이그에 도착하였다고 한다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"태조 4년(1395)

4년(1395)에 정도전(鄭道傳)에게 명하여 새 궁궐에 이름을 붙이게 하니 경복궁(景福宮)이라 하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"4세기 말∼5세기 초에는 신라를 후원하는 고구려군의 공격을
받고 거의 몰락하여 가야의 중심 세력이 해체되고, 가야 지역은 낙동강 서쪽 연안으로 축소되었다."
6. Chun / Roh Transitional,ta_e41,4th National Curriculum (1981–1987),Elementary,"그리하여, 산림계를 조직하여 서로 힘을 모아 산림을
보호하고 나무심기에 힘썼다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,2.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"하지만, 경제⋅사회적인 삶의 질과 사회적 진보의 여러 척도에서는 이런 위상에 걸맞지 않은 성적을 보였다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"한편, 몽고에서는 고려의 여자를 번번이 요구하였으므로 사회 문제가 일어났고, 또 조혼의 풍속까지 낳게 하였다."
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,2\.
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"신라의 악기로는 거문고, 가야금, 비파, 피리 등이 있었다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"일본은 다시 제1차 한일 협약(第一次韓日協約)을 체결하고 자기네가 천거하는 외국인을 고문으로 채용하게 한 다음, 중요한 외교 안건은 미리
협의토록 하는 고문 정치를 질시하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"메이지
27년 3월 하순 【이 태왕 31년 갑오년 2월 하순】 전라도 고부(古阜)의 군민(郡民)들이 군수(郡守)인 조병갑(趙秉甲)의 탐학을 견디지
못하고 난을 일으키자, 같은 지역의 부유한 농민으로 동학당의 우두머리였던 전봉준(全琫準)은 ‘제폭구민(除暴救民)’을 표방하고 궐기에 가담하여
그 세력이 강렬해졌다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"고려의 발전
   2\."
