period_ordered,book_id,nikh_period,level,sentence
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"법률을 개정하여 형벌을 삼갔으니 사형수에
대해서는 세 번 복심을 한 뒤라야 그것을 결재하기로 하였으며, 보통 죄수들의 신문에 있어서도 3인 이상의 법관을 두어 배심제와 같은 규정을
세웠다."
1. Late Chosŏn / Korean Empire,ta_p81r,Enlightenment & Daehan Empire (1895–1910),,"그 후 왕 대무예(大武藝)와
대인수(大仁秀)1)는 더욱 영토를 확장하여, 남쪽으로는 신라(新羅)와 접하고 동쪽으로는 바다에 이르고 서쪽으로는 거란[契丹]과 이웃하였다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,동학 농민 운동은 지도자였던 전봉준이 체포되어 처형됨으로써 실패로 끝났다.
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"때마침, 청이 베트남 문제로 프랑스와 전쟁 상태로 들어가 조선에 주둔하고 있던 청군의 일부를 철수시켰다."
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,"삼국의 예술은 어떠한 특색을 가지고 있으며, 무엇을 중심으로 하여 발전하였는가?"
1. Late Chosŏn / Korean Empire,ta_p12r,Enlightenment & Daehan Empire (1895–1910),Public schools,"왕이 알고 마침내 욱을 사수현(泗水縣)에 유배보냈고, 비는 순(詢)을 낳았다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"또, 민족 의식을 반영한
을지문덕전, 이순신전, 최익현전 등 침략과 싸운 인물의 전기 문학을 비롯하여 번역 문학도 크게 일어났다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"부당한
수탈에 대한 농민들의 저항도 급격하게 늘어났다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"이러한 상황에서 서재필 등은 독립신문을
창간하여 서구의 자유 민권 사상을 소개하였으며, 독립 협회를 창립하였다(1896)."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"보기와 같은 서양 문물이 우리 나라에 처음 전해졌을 때에 무엇이라고 불렀는지 조사해 보고, 그렇게 부른 까닭에 대하여 이야기해
보자."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"이에 앞서
국왕은 도성을 나와 의주(義州)로 도망갔으며, 사신을 급히 명나라에 파견하여 원조를 요구하였다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"실학은 개화 사상과 한말, 일제 시대의 국학 운동에 어떠한 영향을 주었는가?"
